PRFID,PRFNM,PRFPDFROM,PRFPDTO,D_DAY,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM_x,INFO_URLS,7DAYS RANK,PLACENM_y,SI DO,GU GUN,ADRES,TELNO,RELATE URL,RESTAURANT,CAFE,STORE,NOLIBANG,PARK BARRIER,REST BARRIER,ELEV BARRIER,PARKINGLOT
PF243842,앤서니 브라운의 난 책이 좋아요,2024.08.03,2024.09.14,13, ,"김명훈, 서희정, 김온 등",1시간,24개월 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243842_240626_144827.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1183574'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008882'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5732')]",FC002894,북아현아트홀 (북아현아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243842_240626_0248270.jpg'],,,,,서울특별시 서대문구 북아현로 51(북아현동),02-360-8663,https://www.sscmc.or.kr/culture3/,,,,,,,,
PF243768,"와일드 와일드, 애프터파티",2024.08.16,2024.12.31,121,"이국영, 류지한, 김사홍, 김동희, 강천일, 이희중, 이윤제 등","오준석, 최용진, 정석봉 등",1시간 15분,만 19세 이상,더블유투컴퍼니,"WILD EVENT석 125,000원, WILD WILD석 99,000원, WILD석 77,000원, R석 66,000원, 시야방해석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243768_240626_101713.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009003'), ('타임티켓', 'https://timeticket.co.kr/?number=5743')]",FC000883,명보아트홀 (와일드와일드 전용관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243768_240626_1017130.jpg'],,,,,서울특별시 중구 마른내로 47 (초동),02-2274-2121,https://www.facebook.com/myungboart,,,,,,,,
PF243763,비밀의 화원,2024.08.01,2024.09.22,21,"김청아, 이금조, 김서환, 정백선, 박선영, 김지혜, 송영미 등","이기쁨, 이성준, 강하님 등",1시간 40분,만 7세 이상,(재)국립정동극장,"전석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243763_240626_100120.gif,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70924'), ('나눔티켓', 'https://www.nanumticket.or.kr/pe/detail.html?p_marking=&p_new=&start2=0&page_no2=1&p_idx=12397'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1217381'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012154'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008917'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77960'), ('코스타', 'https://ticket.co-star.kr/shop/item.php?it_id=1719477557')]",FC000006,국립정동극장 (국립정동극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243763_240626_1001210.jpg'],,,,,서울특별시 중구 정동길 43 (정동),02-751-1500,http://www.jeongdong.or.kr,,,,,,,,
PF243627,스파이,2024.08.06,2024.10.27,56,"성태준, 정동화, 원태민, 현석준, 이진우, 최병찬, 강정임 등","라현아, 박신혜, 한지안 등",2시간,만 13세 이상,미스틱컬처,"한줄기의빛석 70,000원, 스파이더맨인블랙석 60,000원, 로마의대체휴일석 50,000원, 미션임파서블드림석 40,000원, 티파니에서야참을석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243627_240624_142345.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009007'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78045')]",FC000570,동국대학교 (이해랑예술극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243627_240624_0223451.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243627_240624_0223450.jpg']",,,,,서울특별시 중구 필동로1길 30 (필동3가),02-2260-8901,http://www.xn--3i0by5pyxij4d72bsi666f.com/,,,,,,,,
PF243611,"15주년 기념공연, 영웅 [부산]",2024.08.23,2024.09.01,0,"정성화, 양준모, 민우혁, 김도형, 서영주, 이정열, 최민철 등","윤홍선, 윤호진, 김민영 등",2시간 45분,만 7세 이상,(주) 에이콤(ACOM),"VIP석 160,000원, OP석 160,000원, R석 140,000원, S석 100,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243611_240624_135647.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1183474'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008592'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50671')]",FC001347,소향씨어터 (신한카드홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243611_240624_0149090.jpg'],,,,,부산광역시 해운대구 센텀중앙로 55 (우동) 경남정보대학교및동서대학교센텀산학캠퍼스,051-950-6500,http://sohyangtheater.co.kr,,,,,,,,
PF243362,접변 [대학로],2024.07.20,2024.09.22,21,"임찬민, 송지온, 정우연, 양서윤, 전해주, 전하영, 윤정섭 등","이기쁨, 한곤, 최종혁 등",1시간 40분,만 13세 이상,"네버엔딩플레이(N.E.P Contents), 포커스테이지","R석 66,000원, S석 55,000원, A석 44,000원, 시야제한석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243362_240620_093509.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008373'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78026'), ('페이북', '-')]",FC000382,티오엠씨어터(구. 문화공간필링) (2관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243362_240620_0935090.jpg'],10.857142857142858,,,,서울특별시 종로구 대학로8가길 85 (동숭동),00-1544-8303,http://www.towntom.com/,,,,,,,,
PF243185,피터팬 [부산],2024.09.01,2024.09.01,0, , ,1시간,24개월 이상, ,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243185_240618_091938.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1178932'), ('예스24', 'http://ticket.yes24.com/Perf/50032'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008456')]",FC000832,해운대문화회관 (해운홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243185_240618_0919380.jpg'],,,,,부산광역시 해운대구 양운로 97 (좌동),051-749-7651,https://www.haeundae.go.kr/culture/index.do,,,,,,,,
PF243081,유진과 유진 [대학로],2024.07.06,2024.09.22,21,"최태이, 오유민, 전혜주, 유주혜, 강혜인, 이한별","김솔지, 이기쁨, 양지해 등",1시간 40분,만 10세 이상,낭만바리케이트,"유진석 65,000원, 소라석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243081_240617_100852.gif,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70936'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196080'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008248'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78011'), ('티켓링크', 'https://www.ticketlink.co.kr/product/51222')]",FC001528,링크아트센터드림 (드림 4관),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243081_240806_0116182.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243081_240806_0116181.jpg']",36.75,,,,서울특별시 종로구 동숭길 123 (동숭동),02-3481-8843,http://blog.naver.com/dreamartcenter,,,,,,,,
PF243023,콧구멍을 후비면 [인천],2024.08.31,2024.09.01,0, , ,55분,24개월 이상,극단 복주머니,"R석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243023_240614_104049.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1175591'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008392'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5770')]",FC002833,청라복합문화센터 블루노바홀 (공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243023_240614_1040490.jpg'],,,,,인천광역시 서구 청라대로 20 (청라동),032-580-1196,https://iscf.kr/_new/html/centerIntro/cheongna.php,,,,,,,,
PF242984,인피니티 플라잉 (INFINITY FLYING) [경주],2024.06.13,2024.11.30,90,"황근생, 이영주, 김승혜, 박민혜","최철기, 김진홍, 임중석 등",1시간 20분,36개월 이상,(주)페르소나 경주플라잉,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242984_240613_152220.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/153378')]",FC001081,경주세계문화엑스포 (문화센터공연장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322204.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322203.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322202.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322201.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322200.jpg']",,경주세계문화엑스포,경북,경주시,경상북도 경주시 경감로 614 (천군동),054-748-3011,http://www.cultureexpo.or.kr/open.content/ko/,,,,,,,,
PF242932,시데레우스,2024.07.24,2024.10.13,42,"이창용, 안재영, 김지철, 기세중, 정휘, 윤석호, 유낙원 등","신동은, 백승우, 이유정 등",1시간 40분,만 7세 이상,(주)랑,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242932_240613_112051.jpg,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70935'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1178225'), ('예스24', 'http://ticket.yes24.com/Perf/50004'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008243'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78010')]",FC001459,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터) (플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242932_240613_1120510.jpg'],6.0,,,,서울특별시 종로구 대학로12길 73 (동숭동),02-731-9199, ,,,,,,,,
PF242880,구름빵 [김포],2024.08.31,2024.09.07,6, , ,50분,전체 관람가, ,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242880_240613_092859.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/678573')]",FC002017,김포한강괜찮은홀 (김포한강괜찮은홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242880_240613_0928590.jpg'],,,,,경기도 김포시 양촌읍 석모로 103 (석모리),070-8886-2516, ,,,,,,,,
PF242836,투가이즈쇼 #2. GENERATION,2024.07.08,2024.10.07,36,"최호승, 기세중, 추민주, 노희찬, 김도원, 최정원, 김환희 등","한소영, 한혜신, 이준 등",1시간 40분,만 13세 이상, ,"전석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242836_240612_124051.jpg,"[('예스24', 'http://ticket.yes24.com/Perf/49981')]",FC002033,구름아래소극장 (구름아래소극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242836_240612_1240511.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242836_240612_1240510.jpg']",,,,,서울특별시 마포구 와우산로29가길 15 (서교동),02-3280-8800,http://gurumare.co.kr/,,,,,,,,
PF242687,캐리tv 러브콘서트: 타임캡슐 [성남],2024.08.31,2024.09.01,0, ,"김양순, 황지연, 석진욱 등",1시간 10분,24개월 이상,(주)캐리소프트(캐리TV),"VIP석 70,000원, R석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242687_240610_153647.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1173723'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008033'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50472')]",FC001217,성남아트리움 (구. 성남시민회관) (대극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242687_240610_0336482.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242687_240610_0336481.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242687_240610_0336470.jpg']",,,,,경기도 성남시 수정구 수정로171번길 10,031-735-1960,http://www.snart.or.kr/web/cms/?MENUMST_ID=21536,,,,,,,,
PF242669,"이상한 과자 가게 전천당: 천옥원, 소원과자 대결전 [진주]",2024.08.31,2024.09.01,0, ,"권찬우, 이상진, 엄윤기 등",1시간 10분,24개월 이상,"(주)이스트아트컴퍼니, 마당세실","R석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242669_240610_145132.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1173836'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007007'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50152')]",FC001701,경상남도문화예술회관 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242669_240610_0251320.jpg'],,경상남도문화예술회관,경남,진주시,경상남도 진주시 강남로 215 (칠암동) 경남문화예술회관,00-1544-6711,https://artcenter.gyeongnam.go.kr/main.do,,,,,,,,
PF242666,페인터즈 [서대문전용관],2024.06.05,2024.09.30,29, , ,1시간 15분,전체 관람가,(주)펜타토닉,"VIP석 70,000원, R석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242666_240805_155829.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/942356'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007854'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5694'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50505')]",FC000576,NH아트홀 (NH아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242666_240610_0246120.jpg'],,NH아트홀,서울,중구,서울특별시 중구 통일로 120 (충정로1가),02-3143-5959,http://www.fanta-stick.co.kr/kor/fs1.html,,,,,,,,
PF242642,달 샤베트 [수원],2024.08.31,2024.09.01,0, ,"김영인, 김한솔, 홍승희 등",1시간,24개월 이상,할리퀸크리에이션즈(주),"1층석 66,000원, 2층석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242642_240610_135958.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1173756'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007999'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50464')]",FC000017,경기아트센터(구. 경기도문화의전당) (대극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242642_240610_0159580.jpg'],,경기아트센터(구. 경기도문화의전당),경기,수원시,경기도 수원시 팔달구 효원로307번길 20 (인계동) 경기도문화의전당,031-230-3200,http://www.ggac.or.kr/,,,,,,,,
PF242396,사의찬미 [대학로],2024.07.02,2024.09.22,21,"주민진, 진태화, 임준혁, 홍승안, 최연우, 김려원, 이정화 등","송은도, 성종완, 김은영 등",1시간 50분,만 12세 이상,(주)네오,"R석 77,000원, S석 66,000원, A석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242396_240605_135503.jpg,"[('대학로티켓닷컴', 'http://www.maketicket.co.kr/ticket/GD25513'), ('예스24', 'http://ticket.yes24.com/Perf/49911'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012222')]",FC003244,링크아트센터 (페이코홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242396_240605_0155030.jpg'],39.57142857142857,,,,서울특별시 종로구 대학로14길 29(혜화동), , ,,,,,,,,
PF242395,박열 [대학로],2024.07.16,2024.09.29,28,"손유동, 현석준, 백기범, 이정화, 박새힘, 최지혜, 문경초 등","김수로, 김보람, 성종완 등",1시간 40분,만 13세 이상,(주)더블케이 필름 앤 씨어터 (더블케이엔터테인먼트),"전석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242395_240605_134104.gif,"[('위메프', 'https://ticket.wemakeprice.com/product/3000012153'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007631'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77924'), ('페이북', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70946')]",FC001528,링크아트센터드림 (드림 3관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242395_240605_0141040.jpg'],21.0,,,,서울특별시 종로구 동숭길 123 (동숭동),02-3481-8843,http://blog.naver.com/dreamartcenter,,,,,,,,
PF242388,캐치! 티니핑: 두근두근 싱어롱 콘서트! [목포],2024.08.31,2024.09.01,0,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등","홍승희, 박상우, 이종혁 등",1시간,24개월 이상,"(주)쇼노트, (주)에스에이엠지엔터테인먼트(SAMG엔터테인먼트), (주)이캐슬, (주)하늘이엔티","R석 66,000원, S석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242388_240605_131230.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1173112'), ('예스24', 'http://ticket.yes24.com/Perf/49934'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007765')]",FC000491,목포시민문화체육센터 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242388_240605_0112300.jpg'],,,,,전라남도 목포시 부주로 312 (옥암동),061-270-8376,http://art.mokpo.go.kr/,,,,,,,,
PF242052,베르사유의 장미,2024.07.16,2024.10.13,42,"옥주현, 김지우, 정유지, 이해준, 김성식, 고은성, 박민성 등","엄홍현, 김지원, 왕용범 등",2시간 30분,만 7세 이상,(주)EMK뮤지컬컴퍼니,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242052_240530_132555.gif,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209927'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007345')]",FC000014,충무아트센터 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242052_240712_1119241.jpg'],7.285714285714286,,,,서울특별시 중구 퇴계로 387 (흥인동),02-2230-6601,www.caci.or.kr/caci/main/main.do,,,,,,,,
PF241845,인어공주 [서울 목동],2024.07.20,2024.09.01,0, , ,1시간,전체 관람가, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241845_240528_095919.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1141945'), ('인터파크', 'https://tickets.interpark.com/goods/24007073'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5728')]",FC001107,한국방송회관 코바코홀 (구. 브로드홀) (한국방송회관 코바코홀 (구. 브로드홀)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241845_240528_0959190.jpg'],,,,,서울특별시 양천구 목동동로 233 (목동) 한국방송회관,070-7581-8902,https://broadcast.kobaco.co.kr/main.jsp,,,,,,,,
PF241497,젠틀맨스 가이드: 사랑과 살인편,2024.07.06,2024.10.20,49,"송원근, 김범, 손우현, 정산훈, 정문성, 이규형, 안세하 등","김영욱, 이성훈, 송한샘 등",2시간 30분,만 13세 이상,(주)쇼노트,"VIP석 150,000원, OP석 130,000원, R석 130,000원, S석 90,000원, A석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241497_240522_104224.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1146704'), ('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209919'), ('쇼노트', 'http://www.shownote.com/Ticket/Performance/Details?performanceId=365'), ('예스24', 'http://ticket.yes24.com/Perf/49795'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007239'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77982')]",FC001370,광림아트센터 (BBCH홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241497_240522_0352481.jpg'],7.714285714285714,광림아트센터,서울,강남구,서울특별시 강남구 논현로163길 33 (신사동),02-2056-5787,www.klarts.kr,,,,,,,,
PF241421,살리에르,2024.07.11,2024.09.21,20,"박규원, 백인태, 유현석, 백형훈, 김준영, 황민수, 유태양 등","한승원, 김종석, 정민아 등",2시간 30분,만 11세 이상,(주)에이치제이컬쳐(HJ컬쳐),"R석 99,000원, S석 77,000원, A석 55,000원, 시야방해석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241421_240521_094104.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1144616'), ('세종문화회관', 'https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=35252&menuNo=200004'), ('예스24', 'http://ticket.yes24.com/Perf/49727'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006932'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77918'), ('페이북', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70891')]",FC000020,세종문화회관 (세종M씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241421_240521_0941040.jpg'],35.42857142857143,,,,서울특별시 종로구 세종대로 175 (세종로),02-399-1000,http://www.sejongpac.or.kr/,,,,,,,,
PF241385,조선셰프 한상궁 [전주],2024.06.07,2024.09.27,26,"방지원, 양성령, 송광일, 김응경, 오정은, 박미나, 조은혜 등", ,1시간 10분,전체 관람가, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241385_240520_144504.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007054')]",FC001517,전주소리문화관 (놀이마당(야외마당)),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241385_240520_0245043.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241385_240520_0245042.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241385_240520_0245041.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241385_240520_0245040.jpg']",,,,,전라북도 전주시 완산구 한지길 56 (풍남동3가) 한옥생활체험관 옆,063-231-0771, ,,,,,,,,
PF241301,하데스타운 [서울],2024.07.12,2024.10.06,35,"조형균, 박강현, 김민석, 최정원, 최재림, 강홍석, 김선영 등","박소영, 한정림, 홍유선 등",2시간 35분,만 7세 이상,에스앤코(S&CO),"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241301_240517_145643.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196774'), ('예스24', 'http://ticket.yes24.com/Perf/49701'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012185'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006851'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77897'), ('페이북', 'https://paybooc.co.kr/app/paybooc/Culture.do?mFocus=Culture&returnURL=https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70886')]",FC000012,샤롯데씨어터 (샤롯데씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241301_240517_0256430.jpg'],4.285714285714286,,,,서울특별시 송파구 올림픽로 240 (잠실동),00-1644-0078,http://www.charlottetheater.co.kr/,,,,,,,,
PF241277,카르밀라,2024.06.11,2024.09.08,7,"유주혜, 전민지, 이서영, 이재림, 송영미, 민도희, 김서연 등","박재현, 이강욱, 황예슬 등",1시간 40분,만 13세 이상,"네버엔딩플레이(N.E.P Contents), 라이브러리컴퍼니","R석 70,000원, S석 60,000원, A석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241277_240517_125516.gif,"[('위메프', 'https://ticket.wemakeprice.com/product/3000012065'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006970'), ('코스타(Coaster)', 'https://ticket.co-star.kr/shop/item.php?it_id=1717579884')]",FC001528,링크아트센터드림 (드림 1관),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241277_240517_1255161.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241277_240517_1255160.jpg']",38.833333333333336,,,,서울특별시 종로구 동숭길 123 (동숭동),02-3481-8843,http://blog.naver.com/dreamartcenter,,,,,,,,
PF240973,어쩌면 해피엔딩 [대학로],2024.06.18,2024.09.08,7,"정욱진, 홍지희, 윤은오, 박진주, 신재범, 장민제, 이시안 등","김동연, 주소연, 송희진 등",1시간 50분,만 13세 이상,(주)CJ ENM,"R석 77,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240973_240513_151357.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1174706'), ('예스24', 'http://ticket.yes24.com/Perf/49543'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012040'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006741')]",FC001236,예스24 스테이지(구. DCF대명문화공장) (1관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240973_240513_0313570.jpg'],,,,,서울특별시 종로구 대학로12길 21 (동숭동),02-742-9637,https://yes24stage.com/,,,,,,,,
PF240807,에그박사: 연구소에서 생긴 일 [제주],2024.08.31,2024.09.01,0, ,"김종해, 김양운, 안영은 등",1시간 10분,전체 관람가,"(주)이에스생활문화 (ES생활문화), 에그박사","1층석 80,000원, 2층석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240807_240510_104245.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1137207'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50021')]",FC000724,한라아트홀 (대극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240807_240510_1042451.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240807_240510_1042450.jpg']",,,,,제주특별자치도 제주시 한라대학로 38 (노형동),064-741-7575,http://www.chu.ac.kr/organization/02organization/sub02/sub02.php,,,,,,,,
